make,model,model_year,price,slogan
Mercury,Grand Marquis,1987,$108801.30,seize innovative technologies
Hyundai,Accent,2012,$697413.09,scale collaborative deliverables
GMC,Vandura 2500,1994,$609606.29,synthesize efficient interfaces
Mitsubishi,3000GT,1996,$151878.28,embrace cross-platform communities
Mercury,Villager,1999,$390294.96,evolve cross-media convergence
Mitsubishi,Galant,1994,$228953.04,optimize collaborative networks
Honda,Prelude,1998,$136276.07,optimize vertical applications
Chrysler,300M,2000,$211580.93,mesh leading-edge e-services
Ford,Explorer,1999,$344382.89,innovate granular technologies
Mercedes-Benz,S-Class,2003,$458751.48,disintermediate virtual content
Buick,Verano,2012,$463428.09,facilitate frictionless communities
Land Rover,Range Rover,1994,$351673.72,visualize enterprise convergence
Toyota,FJ Cruiser,2012,$666404.92,strategize innovative content
Cadillac,Fleetwood,1992,$275352.18,streamline value-added bandwidth
Acura,TL,2009,$294606.48,iterate innovative initiatives
Plymouth,Neon,2000,$605149.75,leverage frictionless web services
Cadillac,Fleetwood,1954,$772604.63,evolve out-of-the-box communities
Lincoln,Town Car,2010,$587322.92,whiteboard cross-platform infrastructures
Chevrolet,2500,1998,$656349.57,visualize distributed solutions
Ford,Explorer Sport,2001,$529512.42,target value-added portals
Nissan,Maxima,2012,$127418.71,leverage user-centric metrics
Chevrolet,Metro,1999,$355413.73,visualize end-to-end experiences
Nissan,Xterra,2003,$190834.85,target value-added portals
Eagle,Summit,1995,$373416.05,drive visionary web-readiness
Buick,LaCrosse,2006,$513148.18,unleash B2B models
Jensen,Interceptor,1966,$544833.40,disintermediate scalable content
Audi,riolet,1996,$242023.25,orchestrate 24/7 infrastructures
Maybach,Landaulet,2011,$728883.54,exploit dynamic niches
Cadillac,DeVille,2001,$204206.14,mesh real-time web services
Ford,Taurus,1995,$63790.51,target 24/365 paradigms
Ford,E250,2006,$450538.94,maximize web-enabled web-readiness
GMC,Sonoma,1997,$496054.14,integrate granular communities
Hyundai,Azera,2012,$139946.31,disintermediate one-to-one synergies
Porsche,911,2002,$536970.99,revolutionize visionary schemas
BMW,M3,1995,$595085.78,seize open-source systems
Chevrolet,S10,2003,$117917.48,streamline scalable action-items
Cadillac,Escalade,2000,$95137.32,cultivate one-to-one interfaces
BMW,8 Series,1993,$664980.61,transform B2B e-commerce
Mercedes-Benz,300SE,1992,$487278.45,incentivize intuitive deliverables
Hyundai,XG350,2003,$139505.36,extend end-to-end initiatives
Plymouth,Neon,1997,$137859.62,incubate 24/365 interfaces
Pontiac,G8,2008,$255550.55,maximize strategic portals
Pontiac,Aztek,2005,$658931.76,disintermediate collaborative e-markets
Pontiac,Grand Prix,2000,$221340.98,cultivate integrated platforms
Mitsubishi,Galant,2001,$98714.74,recontextualize revolutionary e-markets
Aston Martin,DB9,2010,$279514.12,iterate cross-media channels
Buick,Coachbuilder,1990,$581309.60,cultivate 24/7 users
Maserati,Quattroporte,2011,$725880.20,monetize proactive partnerships
Mitsubishi,Mirage,1998,$580042.66,generate scalable networks
Dodge,Ram 2500 Club,1997,$375229.05,generate sexy paradigms
Pontiac,Grand Prix,1982,$391724.48,innovate enterprise applications
Toyota,Yaris,2006,$60585.96,engineer ubiquitous ROI
Land Rover,Freelander,2001,$583867.87,seize back-end networks
Land Rover,Discovery Series II,2002,$453521.97,integrate bleeding-edge e-tailers
Eagle,Summit,1995,$184435.37,deploy turn-key vortals
Ford,Taurus,2004,$344614.31,scale killer content
Ford,Flex,2012,$244159.37,transition innovative e-markets
Mitsubishi,Eclipse,1992,$389628.65,embrace efficient portals
Jeep,Compass,2012,$80101.61,generate collaborative methodologies
GMC,Canyon,2006,$194905.99,innovate front-end bandwidth
Aston Martin,V8 Vantage,2011,$525604.51,synthesize next-generation paradigms
Dodge,Ram Van 3500,1996,$14240.07,iterate mission-critical schemas
Mitsubishi,Diamante,1992,$271000.75,enhance 24/7 relationships
Toyota,Sequoia,2011,$92148.82,iterate B2B paradigms
Dodge,Colt,1993,$428231.07,envisioneer cutting-edge applications
GMC,Canyon,2004,$599431.48,orchestrate visionary action-items
Audi,A8,2008,$302672.32,monetize plug-and-play vortals
Toyota,Tundra,2008,$195063.42,morph frictionless infrastructures
Suzuki,Kizashi,2010,$360848.35,brand viral web services
Toyota,Corolla,1994,$432223.70,deliver impactful platforms
Ford,Escort,2002,$400944.50,maximize e-business schemas
Nissan,Altima,1997,$228237.34,facilitate mission-critical e-services
Rolls-Royce,Phantom,2012,$198054.72,syndicate real-time content
Chevrolet,TrailBlazer,2003,$614746.93,maximize web-enabled networks
Dodge,Caravan,1996,$409274.34,seize customized communities
Volvo,XC70,2007,$234709.82,disintermediate innovative content
GMC,Savana 1500,1998,$440826.21,orchestrate leading-edge methodologies
Chevrolet,SSR,2004,$461426.94,incubate 24/7 methodologies
Nissan,Pathfinder,2011,$771179.84,utilize bricks-and-clicks ROI
Ford,Econoline E250,2000,$224148.15,redefine open-source infomediaries
Mercury,Villager,1993,$198667.81,expedite sticky methodologies
Mercedes-Benz,300TE,1993,$32651.59,redefine transparent communities
Chevrolet,Lumina,1997,$736523.85,iterate customized paradigms
Dodge,Caravan,1985,$456838.45,deliver magnetic models
Volvo,S80,2012,$119086.72,enable bleeding-edge initiatives
Audi,A5,2008,$778855.19,syndicate cutting-edge systems
Lamborghini,Gallardo,2003,$409804.59,disintermediate open-source synergies
Mitsubishi,Galant,1998,$366493.47,enhance collaborative action-items
Lexus,LS,2008,$330917.63,utilize visionary metrics
Toyota,Prius,2010,$464725.18,syndicate wireless supply-chains
Ford,E150,2012,$8992.34,mesh front-end schemas
Honda,S2000,2008,$671617.07,enhance intuitive e-tailers
Honda,Civic,1999,$85223.60,empower ubiquitous interfaces
Audi,A8,2007,$484108.29,orchestrate ubiquitous portals
Mitsubishi,Lancer Evolution,2008,$106242.75,seize intuitive deliverables
Volvo,V70,2006,$267974.83,deploy end-to-end bandwidth
Kia,Sportage,2010,$535884.60,deploy integrated initiatives
Buick,Lucerne,2011,$55986.20,envisioneer best-of-breed mindshare
Ford,Thunderbird,1996,$101868.27,brand global initiatives
Chevrolet,Suburban,2009,$705781.98,engage open-source infomediaries
Audi,S4,1992,$218755.03,evolve seamless e-tailers
GMC,Rally Wagon G2500,1995,$298078.86,iterate global technologies
Nissan,Sentra,2009,$762400.98,matrix dynamic e-tailers
Honda,Odyssey,1998,$765136.26,visualize rich paradigms
Volkswagen,Jetta III,1995,$196182.26,visualize B2C partnerships
Lexus,GS,1993,$374457.91,leverage bricks-and-clicks metrics
Honda,S2000,2004,$536907.93,brand plug-and-play eyeballs
Oldsmobile,Silhouette,2001,$759159.59,disintermediate user-centric synergies
Nissan,Xterra,2011,$437449.60,streamline bricks-and-clicks mindshare
Mitsubishi,Outlander,2007,$208721.24,enhance scalable methodologies
Buick,Regal,2003,$623812.88,deploy world-class web-readiness
Nissan,Quest,2000,$790305.68,scale bleeding-edge e-tailers
Pontiac,Tempest,1965,$13968.06,enhance global markets
Mercedes-Benz,CL-Class,2008,$703207.36,productize world-class communities
Nissan,Quest,2012,$579101.98,embrace transparent e-services
Suzuki,Swift,2000,$244181.90,benchmark dynamic interfaces
Pontiac,LeMans,1966,$745360.72,leverage virtual functionalities
Mitsubishi,Eclipse,1997,$373855.02,repurpose next-generation initiatives
Acura,Integra,1995,$754130.38,envisioneer distributed portals
Studebaker,Avanti,1962,$632034.20,brand dot-com web services
BMW,X3,2012,$151025.47,reintermediate holistic interfaces
Volvo,C70,2013,$399966.37,reintermediate back-end convergence
Mitsubishi,Lancer,2005,$399292.87,e-enable interactive e-markets
BMW,X5 M,2010,$587898.68,synthesize value-added action-items
Pontiac,Daewoo Kalos,2006,$711075.72,disintermediate strategic functionalities
Mercedes-Benz,S-Class,2006,$42051.84,e-enable one-to-one niches
Isuzu,VehiCROSS,2001,$403392.81,whiteboard plug-and-play systems
Ram,3500,2011,$70418.33,benchmark sexy experiences
Saab,9-3,2000,$149817.79,embrace back-end markets
Ford,E150,2005,$66860.75,enhance B2C relationships
Mercedes-Benz,SL-Class,2009,$738537.54,e-enable dot-com partnerships
Pontiac,GTO,1974,$157034.53,target sexy ROI
Ford,Escort ZX2,2003,$384255.92,visualize seamless convergence
Lotus,Elan,1994,$735645.12,streamline extensible deliverables
GMC,Canyon,2010,$472759.71,reinvent visionary portals
Volkswagen,New Beetle,2007,$678224.29,engage bricks-and-clicks technologies
Mercedes-Benz,M-Class,2011,$436077.70,strategize seamless markets
Chevrolet,Avalanche,2009,$648952.17,revolutionize 24/7 users
Chevrolet,TrailBlazer,2009,$210163.86,transform efficient action-items
Ford,Explorer Sport Trac,2004,$428362.65,deploy web-enabled markets
Ford,Tempo,1991,$387141.92,strategize virtual e-services
Pontiac,Trans Sport,1993,$394752.08,synergize mission-critical supply-chains
Mazda,B-Series,2003,$525089.69,seize web-enabled platforms
Land Rover,Freelander,2002,$772654.05,architect cross-platform applications
Lexus,ES,1999,$348079.44,enhance transparent e-business
Buick,Regal,1994,$120935.14,envisioneer holistic eyeballs
Subaru,Legacy,2011,$696491.47,target extensible bandwidth
Mercury,Topaz,1989,$121090.19,disintermediate out-of-the-box bandwidth
Nissan,Frontier,2001,$690232.74,reintermediate one-to-one architectures
Mitsubishi,Pajero,1996,$646267.00,generate B2B e-markets
Mercedes-Benz,300SL,1992,$724034.75,architect integrated portals
Nissan,Versa,2012,$783573.30,brand best-of-breed solutions
Land Rover,Discovery Series II,2002,$487219.01,reinvent magnetic infrastructures
Toyota,Highlander,2002,$669459.38,drive magnetic users
Oldsmobile,Ciera,1995,$663458.30,incubate granular mindshare
Buick,LaCrosse,2005,$476262.18,reinvent next-generation e-tailers
Volkswagen,Phaeton,2004,$685104.34,revolutionize 24/365 infrastructures
GMC,Vandura G1500,1995,$83956.39,grow 24/365 technologies
Ford,Explorer Sport,2003,$346072.99,optimize impactful metrics
Mitsubishi,Galant,1991,$333732.23,utilize holistic supply-chains
Volvo,C30,2012,$85304.59,repurpose sexy applications
Toyota,TundraMax,2007,$511848.65,seize one-to-one markets
Ford,F150,1992,$788156.68,engineer impactful e-tailers
Lincoln,Navigator L,2012,$349698.86,generate back-end experiences
Tesla,Model S,2012,$117791.52,revolutionize proactive eyeballs
Ford,Focus,2000,$604849.57,productize dynamic infrastructures
GMC,Suburban 1500,1999,$723869.39,transform turn-key e-markets
Lexus,GS,1998,$121602.47,incubate synergistic partnerships
Foose,Hemisfear,2007,$233388.20,drive 24/7 schemas
Dodge,Grand Caravan,2008,$140907.44,streamline bleeding-edge networks
Chevrolet,Impala,1995,$134628.60,synthesize real-time applications
Ford,Thunderbird,1984,$416001.98,engineer next-generation action-items
Volkswagen,Type 2,1987,$791354.87,mesh rich niches
Ford,Escort,1990,$485956.09,engineer back-end bandwidth
Suzuki,Sidekick,1993,$307947.04,orchestrate world-class ROI
Chevrolet,Astro,1992,$393632.23,revolutionize seamless experiences
Buick,Somerset,1987,$553345.70,expedite front-end communities
Honda,Ridgeline,2009,$787369.18,grow leading-edge interfaces
Buick,Terraza,2005,$788241.31,redefine impactful platforms
Chevrolet,Astro,2002,$133054.23,morph web-enabled solutions
Mitsubishi,Eclipse,2008,$103162.17,morph distributed vortals
Lexus,GS,2010,$484506.20,matrix end-to-end web-readiness
Ford,Model T,1909,$671190.64,optimize bleeding-edge users
Mazda,626,1993,$213842.34,aggregate customized e-markets
Lexus,IS F,2009,$744326.11,incubate sexy ROI
Chevrolet,Avalanche 1500,2005,$305573.41,deliver open-source systems
Lexus,LX,2006,$49523.60,harness one-to-one e-commerce
GMC,Sierra 2500HD,2006,$599741.77,unleash seamless systems
Oldsmobile,LSS,1998,$687721.78,revolutionize mission-critical users
Chevrolet,G-Series G30,1996,$93412.09,repurpose turn-key e-markets
Geo,Metro,1995,$158927.21,enable compelling vortals
Chevrolet,Avalanche 2500,2003,$620184.32,architect out-of-the-box web services
Cadillac,DeVille,2000,$485212.01,synergize dynamic schemas
Chevrolet,Camaro,1998,$198332.70,repurpose impactful vortals
Land Rover,Defender 110,1993,$620150.58,brand world-class content
Dodge,Caravan,2004,$619462.58,seize value-added metrics
Isuzu,Rodeo Sport,2001,$175261.87,envisioneer bleeding-edge interfaces
Toyota,Corolla,2004,$305213.98,facilitate turn-key functionalities
Dodge,Magnum,2005,$366405.29,iterate B2B web services
Ford,Taurus,1986,$24724.36,empower cross-platform technologies
Infiniti,G,1999,$57603.66,unleash clicks-and-mortar architectures
Lexus,RX,2000,$176691.10,morph extensible architectures
Volkswagen,Eurovan,2000,$572516.27,scale bleeding-edge deliverables
Hyundai,Azera,2010,$307854.86,optimize next-generation bandwidth
Hyundai,Accent,2008,$414153.26,expedite impactful supply-chains
Chevrolet,Corsica,1994,$415869.66,matrix next-generation e-tailers
Volkswagen,Golf,1993,$207898.00,reintermediate dot-com deliverables
Suzuki,Cultus,1985,$728393.02,empower sticky e-tailers
Suzuki,Sidekick,1993,$412094.60,engage real-time markets
Lamborghini,Murciélago,2006,$115361.12,empower impactful web-readiness
Alfa Romeo,Spider,1993,$650828.07,mesh ubiquitous bandwidth
BMW,3 Series,1998,$502812.81,scale front-end applications
Chevrolet,Express 2500,2011,$27622.81,whiteboard revolutionary synergies
BMW,X3,2008,$454812.61,grow interactive platforms
Ford,Focus,2013,$727625.23,enhance intuitive relationships
Honda,Fit,2007,$176783.09,deliver magnetic paradigms
Chrysler,300M,2004,$562684.21,streamline sticky action-items
Honda,Accord,1994,$741323.33,unleash rich web services
Honda,CR-V,2002,$659844.38,monetize ubiquitous platforms
Nissan,300ZX,1996,$404827.71,redefine ubiquitous portals
Mercury,Tracer,1998,$755175.11,mesh best-of-breed synergies
Dodge,Ram 1500 Club,2000,$15055.37,benchmark seamless convergence
Mercedes-Benz,C-Class,1996,$571410.40,maximize innovative eyeballs
Acura,CL,2003,$597397.94,orchestrate magnetic metrics
Mazda,CX-7,2008,$665935.06,orchestrate dot-com relationships
Mazda,Mazda6,2012,$755760.44,matrix viral portals
Infiniti,QX,2010,$284474.38,strategize integrated eyeballs
Mitsubishi,Truck,1990,$174453.37,syndicate seamless vortals
Toyota,Camry,2000,$570464.76,redefine 24/7 experiences
Pontiac,Firebird Formula,1992,$491216.53,orchestrate wireless supply-chains
Lincoln,Navigator,2004,$281887.95,integrate integrated portals
Lamborghini,Countach,1985,$379953.95,harness dynamic channels
Chevrolet,Monte Carlo,2004,$736381.91,e-enable 24/7 functionalities
Hummer,H1,1999,$86757.56,deliver ubiquitous e-tailers
Chevrolet,3500,1999,$128334.87,leverage web-enabled channels
Chevrolet,Silverado 1500,2007,$694836.35,drive bleeding-edge content
Land Rover,Freelander,2001,$440925.33,revolutionize extensible e-business
Ford,Econoline E150,1994,$444380.30,syndicate holistic synergies
Ford,Courier,1988,$174449.44,recontextualize scalable networks
Isuzu,i-370,2007,$572061.14,mesh robust e-services
Suzuki,Reno,2005,$512825.75,architect real-time interfaces
Chevrolet,Camaro,1981,$40925.74,synergize next-generation functionalities
Cadillac,CTS,2005,$239380.87,utilize clicks-and-mortar portals
Cadillac,XLR-V,2006,$88577.69,streamline strategic e-tailers
BMW,M5,2000,$56126.90,exploit ubiquitous e-services
Suzuki,Esteem,2001,$267615.61,harness dot-com applications
Volvo,S60,2012,$287639.74,revolutionize integrated systems
Audi,A8,2008,$596905.05,optimize compelling e-services
BMW,M5,2009,$306204.22,evolve global e-markets
Isuzu,Oasis,1997,$522060.79,extend intuitive portals
Mazda,B-Series Plus,1994,$242251.89,enable innovative e-markets
Hyundai,Accent,1998,$570106.17,disintermediate bleeding-edge channels
Chevrolet,Express 2500,2011,$586021.15,repurpose 24/365 infrastructures
Honda,Civic,2005,$489619.19,expedite leading-edge web services
GMC,Savana 2500,2012,$338328.51,benchmark visionary web-readiness
Cadillac,CTS-V,2010,$215009.70,syndicate innovative e-markets
Cadillac,DTS,2007,$623999.26,expedite e-business e-commerce
Pontiac,Trans Sport,1990,$389810.46,mesh B2C metrics
Mitsubishi,Outlander,2012,$252744.44,facilitate turn-key portals
Chevrolet,Express 3500,2004,$595390.77,seize frictionless eyeballs
Chevrolet,Corvair,1960,$469341.19,incentivize viral applications
Hyundai,Sonata,2007,$209907.29,repurpose 24/7 infomediaries
Buick,LaCrosse,2008,$66846.19,productize visionary paradigms
Saab,9-3,2010,$601701.64,recontextualize innovative schemas
Acura,MDX,2001,$191188.57,facilitate turn-key paradigms
Infiniti,M,2003,$78536.35,iterate mission-critical mindshare
Chevrolet,Camaro,1998,$209833.69,streamline dynamic partnerships
Honda,Passport,1998,$355265.21,facilitate vertical methodologies
Jeep,Liberty,2004,$28618.56,empower robust networks
Volkswagen,Golf,1984,$282898.57,revolutionize e-business infrastructures
Acura,TL,2009,$519557.05,benchmark next-generation interfaces
Pontiac,Grand Am,2001,$192365.26,transform sexy infrastructures
Chevrolet,Express 3500,2007,$165681.06,exploit frictionless platforms
Ford,Freestyle,2006,$394320.18,whiteboard frictionless web-readiness
BMW,M3,1999,$114527.69,extend B2C eyeballs
Honda,Odyssey,1995,$162456.85,recontextualize seamless web services
Ford,E350,2012,$87760.33,engineer strategic bandwidth
Buick,Regal,1994,$273584.25,productize cutting-edge bandwidth
Ford,Expedition EL,2008,$706069.86,morph clicks-and-mortar technologies
BMW,Z8,2001,$127237.86,integrate global web services
Subaru,Leone,1988,$86793.11,visualize scalable systems
Lotus,Elan,1990,$487669.09,empower synergistic convergence
Lexus,ES,2009,$297754.47,orchestrate viral communities
Acura,NSX,2000,$131554.00,monetize plug-and-play users
Lotus,Esprit,2003,$455371.36,syndicate out-of-the-box deliverables
Spyker,C8 Laviolette,2004,$613691.97,synergize mission-critical functionalities
Ford,Mustang,1969,$429458.14,target ubiquitous methodologies
Mitsubishi,Galant,1984,$791189.44,transition open-source solutions
Mazda,626,1996,$486249.92,innovate global relationships
Buick,Electra,1989,$536208.59,engineer interactive schemas
Acura,RL,2007,$683365.41,enable collaborative synergies
Chrysler,Sebring,2002,$732613.43,generate next-generation initiatives
Mitsubishi,Galant,1986,$277389.10,exploit enterprise content
Saturn,Outlook,2008,$249548.26,empower sexy schemas
Lincoln,Mark VII,1984,$494752.72,reintermediate open-source systems
Mazda,Familia,1989,$389428.64,visualize global content
Hummer,H2 SUV,2006,$744868.71,transform customized technologies
BMW,525,2003,$422947.53,brand plug-and-play markets
Subaru,Loyale,1991,$617404.32,optimize enterprise channels
Acura,TL,1999,$664985.03,deploy next-generation experiences
Maybach,57,2011,$294546.91,transform one-to-one markets
Mercedes-Benz,300E,1993,$592150.02,streamline integrated relationships
Plymouth,Grand Voyager,2000,$43372.66,redefine holistic content
Infiniti,G,2008,$315973.93,seize seamless supply-chains
BMW,3 Series,2012,$269721.65,unleash real-time action-items
Ford,Expedition EL,2007,$569270.61,innovate world-class e-tailers
Nissan,Frontier,1998,$547380.45,iterate dynamic initiatives
Scion,xA,2005,$442938.69,extend distributed models
Dodge,Dakota,1998,$733317.05,facilitate sticky e-tailers
GMC,Safari,2000,$767976.50,whiteboard user-centric functionalities
Ford,Econoline E150,1994,$259182.03,optimize 24/7 applications
Alfa Romeo,164,1993,$331989.30,integrate integrated relationships
Volvo,C70,2006,$744769.31,generate impactful platforms
Bentley,Continental GTC,2010,$200006.84,synergize web-enabled platforms
Jaguar,X-Type,2007,$263397.37,scale ubiquitous metrics
Chevrolet,3500,1996,$369874.40,seize 24/7 networks
Subaru,XT,1991,$368591.60,cultivate frictionless niches
Kia,Sportage,2009,$399849.15,scale visionary portals
Mitsubishi,Montero,2005,$74800.89,strategize bricks-and-clicks interfaces
Ford,Focus,2008,$193570.91,exploit front-end users
Ford,E150,2006,$120569.02,optimize bleeding-edge vortals
Chevrolet,2500,1996,$478547.63,optimize turn-key eyeballs
Dodge,Challenger,2008,$780346.59,productize transparent niches
Volvo,C70,2004,$228657.35,orchestrate collaborative architectures
Subaru,Legacy,1992,$651562.05,incentivize enterprise systems
Kia,Rondo,2007,$779095.30,empower cross-media supply-chains
Volkswagen,CC,2010,$301888.01,implement web-enabled eyeballs
Land Rover,Discovery,2012,$154555.32,scale viral niches
Chevrolet,Cavalier,2005,$591303.15,aggregate seamless functionalities
Toyota,Supra,1996,$531910.78,reinvent value-added ROI
Mercedes-Benz,E-Class,1996,$640796.83,exploit proactive deliverables
Volvo,S80,2010,$561644.28,enable out-of-the-box supply-chains
Acura,TSX,2005,$714351.40,repurpose wireless portals
Nissan,Pathfinder,2001,$469425.67,leverage sexy partnerships
Chevrolet,Prizm,2000,$540477.89,revolutionize integrated partnerships
Chevrolet,SSR,2005,$472511.63,revolutionize integrated e-commerce
Saab,9000,1998,$486223.10,orchestrate innovative portals
Nissan,Altima,2005,$403818.94,deliver real-time infomediaries
Cadillac,SRX,2012,$310588.84,grow next-generation networks
Jeep,Wrangler,1999,$161661.10,empower sticky e-markets
Acura,TL,2001,$469762.72,harness user-centric infrastructures
Chevrolet,Camaro,1971,$196927.73,extend visionary vortals
Suzuki,XL7,2008,$619570.85,matrix front-end convergence
GMC,Sierra,2010,$46744.18,aggregate global initiatives
Mitsubishi,Endeavor,2004,$569089.00,exploit enterprise initiatives
Mazda,B-Series,1996,$260125.10,harness virtual e-services
Suzuki,XL-7,2005,$754572.10,implement integrated web services
Lexus,RX,1999,$15433.45,transition customized functionalities
Lincoln,Continental Mark VII,1991,$753671.47,synthesize killer convergence
Geo,Metro,1994,$688889.09,optimize global technologies
Nissan,Sentra,1999,$707833.78,matrix B2C infrastructures
Porsche,911,1991,$527013.07,unleash web-enabled models
Saturn,VUE,2003,$346036.47,aggregate dynamic functionalities
Chevrolet,Uplander,2006,$709107.31,scale cross-platform content
Honda,Civic,1980,$371539.36,incentivize back-end applications
Isuzu,Axiom,2002,$186857.25,whiteboard wireless schemas
Chevrolet,Monte Carlo,2006,$547140.85,leverage 24/365 networks
Dodge,D250 Club,1993,$709342.04,target web-enabled schemas
